Date,Open,High,Low,Close,Volume,Adj Close
11/7/16,771.640015,787.72998,770.940002,784.929993,5984400,784.929993
11/8/16,784.969971,791.73999,779.099976,787.75,3373300,787.75
11/9/16,764,777.5,760.090027,771.880005,8550400,771.880005
11/10/16,778.809998,778.830017,717.700012,742.380005,12742300,742.380005
11/11/16,735.72998,743.26001,728.900024,739.01001,6594400,739.01001
11/14/16,745.51001,746,710.099976,719.070007,7283200,719.070007
11/15/16,730,746.780029,725.98999,743.23999,6744600,743.23999
11/16/16,739.880005,749.869995,735.609985,746.48999,3601400,746.48999
11/17/16,749.320007,757.5,748,756.400024,3651300,756.400024
11/18/16,761,767.73999,757.640015,760.159973,4301300,760.159973
11/21/16,766,780.349976,765.109985,780,4595600,780
11/22/16,788.169983,792.400024,781,785.330017,5304900,785.330017
11/23/16,781.72998,781.75,773.119995,780.119995,3522500,780.119995
11/25/16,786.5,786.75,777.900024,780.369995,1832300,780.369995
11/28/16,776.98999,777,764.23999,766.77002,4380900,766.77002
11/29/16,768,769.890015,761.320007,762.52002,3266500,762.52002
11/30/16,762,768.090027,750.25,750.570007,4580100,750.570007
12/1/16,752.409973,753.369995,738.030029,743.650024,4626500,743.650024
12/2/16,743.400024,748.48999,736.700012,740.340027,3499200,740.340027
12/5/16,745,761.48999,742,759.359985,4298200,759.359985
12/6/16,763.98999,768.23999,757.25,764.719971,3788300,764.719971
