Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,12.40,12.59,12.37,12.56,23668100,12.56
2016-12-05,12.31,12.50,12.29,12.44,36118300,12.44
2016-12-02,12.58,12.58,12.15,12.24,38601600,12.24
2016-12-01,12.23,12.80,12.18,12.43,95143600,12.43
2016-11-30,11.97,12.14,11.92,11.96,47646200,11.96
2016-11-29,11.93,12.00,11.87,11.92,23690800,11.92
2016-11-28,12.02,12.05,11.89,11.92,24407200,11.92
2016-11-25,11.95,12.06,11.93,12.04,11439600,12.04
2016-11-23,11.90,12.00,11.85,11.90,22414000,11.90
2016-11-22,11.76,11.91,11.73,11.89,24274700,11.89
2016-11-21,11.77,11.90,11.77,11.79,19508600,11.79
2016-11-18,11.87,11.90,11.73,11.76,30662000,11.76
2016-11-17,11.90,11.96,11.78,11.87,38502500,11.87
2016-11-16,12.00,12.05,11.92,12.00,25195500,12.00
2016-11-15,12.06,12.14,11.95,12.04,31498500,12.04
2016-11-14,12.27,12.50,12.02,12.06,56109900,12.06
2016-11-11,11.88,12.40,11.84,12.28,79135100,12.28
2016-11-10,11.58,11.98,11.58,11.94,52756500,11.94
2016-11-09,11.15,11.63,11.07,11.58,60625700,11.58
2016-11-08,11.50,11.51,11.35,11.48,28456100,11.48
2016-11-07,11.52,11.62,11.39,11.58,25120700,11.58
