Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,31.190001,31.24,31.01,31.17,17324200,31.17
2016-12-05,31.43,31.450001,31.059999,31.110001,21999100,31.110001
2016-12-02,31.360001,31.49,31.26,31.34,21076700,31.34
2016-12-01,30.639999,31.459999,30.620001,31.389999,44605200,31.389999
2016-11-30,31.18,31.27,30.75,30.76,44915400,30.76
2016-11-29,31.280001,31.35,30.98,31.049999,26862000,31.049999
2016-11-28,31.33,31.43,31.209999,31.25,20519200,31.25
2016-11-25,31.450001,31.49,31.290001,31.440001,13161500,31.440001
2016-11-23,31.24,31.379999,31.18,31.34,24273100,31.34
2016-11-22,30.93,31.24,30.879999,31.18,27290900,31.18
2016-11-21,30.690001,30.879999,30.58,30.870001,21485900,30.870001
2016-11-18,30.75,30.90,30.52,30.67,27386900,30.67
2016-11-17,30.700001,30.870001,30.66,30.790001,17680200,30.790001
2016-11-16,30.65,30.780001,30.540001,30.74,24879700,30.74
2016-11-15,30.48,30.77,30.24,30.75,39001200,30.75
2016-11-14,30.74,30.85,30.49,30.51,37141700,30.51
2016-11-11,30.49,30.77,30.370001,30.709999,41490400,30.709999
2016-11-10,29.85,30.84,29.83,30.41,81321100,30.41
2016-11-09,29.32,29.809999,29.07,29.629999,53804500,29.629999
2016-11-08,29.370001,29.620001,29.290001,29.42,35374900,29.42
2016-11-07,28.85,29.33,28.83,29.309999,41254200,29.309999
