Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,18.309999,18.50,18.129999,18.23,13995400,18.23
2016-12-05,17.959999,18.360001,17.870001,18.23,12107700,18.23
2016-12-02,18.00,18.16,17.860001,17.93,12160900,17.93
2016-12-01,18.82,18.83,17.74,18.030001,19535800,18.030001
2016-11-30,18.200001,18.799999,18.18,18.49,20154800,18.49
2016-11-29,18.219999,18.68,18.129999,18.190001,13439700,18.190001
2016-11-28,18.00,18.299999,17.85,18.299999,18917300,18.299999
2016-11-25,18.27,18.309999,18.030001,18.059999,7859200,18.059999
2016-11-23,18.450001,18.59,18.08,18.219999,16965900,18.219999
2016-11-22,18.66,18.870001,18.51,18.629999,10653800,18.629999
2016-11-21,18.719999,18.91,18.59,18.60,13028900,18.60
2016-11-18,18.73,18.91,18.639999,18.73,12464400,18.73
2016-11-17,18.700001,18.959999,18.530001,18.549999,16203700,18.549999
2016-11-16,18.98,19.15,18.59,18.629999,14970300,18.629999
2016-11-15,19.15,19.51,18.91,18.98,19461000,18.98
2016-11-14,18.75,19.200001,18.50,19.139999,23035600,19.139999
2016-11-11,18.35,18.73,18.07,18.549999,15320300,18.549999
2016-11-10,19.040001,19.299999,18.030001,18.370001,31057600,18.370001
2016-11-09,17.959999,19.24,17.91,19.129999,33124100,19.129999
2016-11-08,18.219999,18.559999,17.77,18.379999,19904400,18.379999
2016-11-07,18.110001,18.690001,18.110001,18.41,25862700,18.41
