Date,Open,High,Low,Close,Volume,Adj Close
11/7/16,124.260002,125.75,123.370003,124.580002,5827100,124.580002
11/8/16,124.120003,125.809998,123.220001,124.339996,4667300,124.339996
11/9/16,121.839996,123.650002,120.860001,122.190002,7705700,122.190002
11/10/16,122.760002,122.970001,113.699997,115.419998,19718700,115.419998
11/11/16,114.900002,116.629997,113.110001,114.779999,11070900,114.779999
11/14/16,114.75,115.900002,110.68,113.379997,9932400,113.379997
11/15/16,114.550003,116.410004,113.089996,113.589996,7445100,113.589996
11/16/16,112.959999,116.120003,111.809998,115.190002,5933700,115.190002
11/17/16,115.129997,116.809998,113.559998,115.029999,6232700,115.029999
11/18/16,115.730003,116.419998,113.510002,115.209999,6746800,115.209999
11/21/16,116.199997,118.720001,116.190002,117.959999,7064500,117.959999
11/22/16,118.32,119.459999,116.980003,118.040001,7007200,118.040001
11/23/16,117.760002,118.889999,117.309998,117.690002,4521300,117.690002
11/25/16,117.639999,118.389999,117.18,117.410004,1616300,117.410004
11/28/16,117.050003,117.620003,115.709999,116.93,5278900,116.93
11/29/16,117.300003,119.18,117.129997,117.510002,7082300,117.510002
11/30/16,119,120.370003,116.389999,117,7715100,117
12/1/16,117.519997,118.68,113.949997,117.220001,8636900,117.220001
12/2/16,116.75,120.980003,116.75,120.809998,8928900,120.809998
12/5/16,120.730003,120.75,118.400002,119.160004,7614400,119.160004
12/6/16,120.099998,124.790001,119.419998,124.57,11476600,124.57
